essay_id,essay,human_score
204,"You want my opinion on the effects computers have on people? Well, I believe that computers help people educate people and some computers people relie on. It's time to decide if you agree with me that computers have positive effects on people. Do you agree with me that computers can help people? Say for example you have a question noone in your home can answer. Why not @ORGANIZATION2 it? Of course once in a while you're going to get a school project. Surely you'll need information, but the library is closed. And you don't @CAPS3 what to do. Simple, all you have to do is reasearch it on your computer. Don't you agree that computers help people? I remember this one time I entered a @CAPS1 contest, and the @CAPS2 I needed was lost, then I remembered I put it in my computer. Computers can be relied on by people. Just think about it! Almost over @PERCENT1 of jobs out in the world relie on the technology of a computer. For example the @ORGANIZATION1 job. It would be kind of hard to keep track of how much trash is thrown out every year without a computer, surely banks use computers too! To keep track of everyone's allowance and money situations. Let's not forget about what lawyers do? There are some lawyers incart who use the computer to type up every word said. They turn the words into short and to keep up with what people are saying. Did you @CAPS3 that without these computers ever half the million jobs in the world would fail? Some people would agree that some online games are educational. For example, there is @CAPS4. That game teaches you words you probably never seen before. And don't forget @CAPS5. That game improves your counting of numbers. Last, but not least would be @CAPS6 @CAPS7. That game sharpens your skill and exercises your brain. Strategy come in handy, surely you now see that some games are very educational. In conclusion, I agree that the effects computers have on people are positive. Because computers help people, are reliable, and can educate people. It's now or never do you agree that computers have positive effects on people?",10
221,"Some people @MONTH1 think that computers take up too much time for the important things. But really everything you would like to know is right there. You can learn about nature, cool websites even history. Here are my reasons on the effect on computers. First, you can learn so much about nature online. You can view many types of animals and study them. Learn about plant and the effect they have on life. Also, you can learn about many things on @LOCATION1 and how its changing. Secondly, there are many coll websites you can join. Theres games you can play to keep you occupied during the day. You can even chat online with friends or maybe find long lost friends. School sites are available for students of some studying or help. Lastly, computers show you so much about history. People who things and world famous people from back then compared to famous people now. Most important of all, the life changing story about and how it changes peoples life today. I hope I've you enough to agree with me. As you can see computers have many resources you can learn from learning websites and history arent even half of them. Think about! Thank you for listening",6
234,"Many people think that computers are not a good thing. They think people spend to much time on the computer and are getting less exercise. They are also concerned that looking at the screen could be damaging to your eyes. Those statements maybe true. I believe that computers are beneficial. You can talk to people from other places. You could learn about other places in the world. You can also use the computer to research topics. first off, on the computer you can talk to people. Whether it on a webcam or one of those networks to @LOCATION1 and chat with each other. On the computer you can chat and talk with people without having to be on the phone and paying a bill for it. For example, I have family in another country and one way we always talk is on the computer. We talk on webcam and chat. Calling someone from another country on the phone gets really expensive. If I didn't have a computer then I would not have that great of contact with @CAPS2 family from another country. In addition, You can use the computer to look at foreign countries. Many people including @CAPS2 parents have used the computer to look and read into about other countries. @CAPS2 mother, whenever @CAPS1 plans a vacation, looks up the country we are going to and gets more information about it. Like @DATE1 we went to a hot exotic place, @CAPS2 mom looked it up to see what we should pack to go there. If it weren't for the computer we might have packed the wrong items. Lastly, computers are a great source for researching. I can't tell you how many times I have used the computer to research. Books and encyclopedias are great sources but the computer has so much to offer. You have so many links you can go to and sites. You can find pictures, videos, maps, and much more. I have used the computer many times to research, sometimes its a requirement to have a few sites you have gone on to research for your project in school or something. If you have a computer at home you can build up your computer skills for school. Computers are a more positive thing than negative. You can talk to people without the expensive phone bill. You can learn about other places and cultures. Also, you can use it for researching purposes. Computers @CAPS3!",8
238,"Dear Newspaper I strongly agree with experts on computer's. Those who support advances in technology believe that computer's have a positive effect on people. They say that computers teach us hand-eye coordination, give people the ability to learn from faraway places and even allow people to talk with others online. Theese effects are true but there are many other bad effects to that they dont like to say. Computers also effect people's visiion as you are really close to the screen, computers are really addicting for many people all around the world and having them do bearly no excercize moving many people to a big problem now n days which is obesity. Computer's also tend to take a lot of time away from people's lives. The way I see it to is that although computer's have some positive effects on people you can change those positive effects in a better way that can keep you fit to and seeing places with your eyes, like you can get practice with hand-eye coordination by simply getting a friend and pass tennis balls back and forth quick so at the same time your exercizing to. Also a computer can have you talk with your friends online but why not talk to them by phone if there far away n go outside and catch some fresh air n if they live close by why not talk to them in person instead. or if you want to learn about a certain far away place why not visit the place instead. There are many things you can do that a computer can do and better. but yet im not saying a computer is all bad at all. I agree that there are both good and bad effects to computers as well as most things in the world we live in. In my opinion to I honestly think there are more bad effects then good effects for computer's.",9
240,"Dear @CAPS1, This a letter telling you my opinion about computer. Yes people do spend that time in computers a lot, its because computers are very helpful in many ways. Computers help us with our job, school, work ect. For example science. Im in @NUM1 grade. My teacher @PERSON1 gives us homework; every @DATE1, we have to do @ORGANIZATION1 are @NUM2 facts about anything you want to write about. A lot of people look up bears on @ORGANIZATION2 and they do their assigment about bears. Jobs; secreatenes always have to use computer for everything in our school secreaterys and teachers use computers for attendance, grading. They check you, attendance, grade, phone number and schedule. Communication, my dad the computer wuth our family from @LOCATION1. We talk to know how they've been, to know whats new. Like a week ago I was chating to my cousin she told me her dog had @NUM3 puppies. My family also uses the computer, to order. My uncle went to ticketmaster.com and he ordered two tickets for wwe. He also orders his flight tickets in his computer, to go to @LOCATION1. Well my point is people use computer a lot because they are, very helpful in many ways. Its not good to just be in the computer it good to outside enjoy nature live your life exercise not only to be in shape, but for your health. @CAPS1 hope you enjoy and understand my opinion on computers. Thank you for taking your time and reading I really appreciate it.",8
271,"Dear Local Newspaper, I've heard about your problems with computers, and would like to state my opinion. I think that computers teach you more than they, disable you. For example , say you have a research project and you need to look someone up, you go on the computer and you got him. Also, say you want to go far for vacation; like @LOCATION1. You can go on the internet and find out how they live there. My last reason is that now you can be on the computer and still interact with family and friends. First, I stated the first one because a couple of weeks ago I had a social studies research project. But ig I couldn't use a computer then I would of had to use a book; instead of going on the computer and just looking it up. Another exsample could be like you need pictures to make the project look better . So you can go on google and find a picture to go with you project. But thats not all the internet can help you with. Like say you been planning a trip to @LOCATION1 for your honeymoon but never been there or know anything about it, but your honeymoon is a month away. You can go on the computer and learn about it. Also now they have online classes and you can learn their language before you go. But to wrap it up I have on more exsample. Lastly, chatting sosme people think because you on the computer all day you can't interact with others, but you can. for exsample, like they have a website called @ORGANIZATION1. You can chat with all your friends at once. Also they have video chatting, so you can be looking right at the person while your talking, all that's all I can think of. I hope that my lette and probably many others show you about computers actually do.",8
326,"Dear @CAPS1, I believe that computers are one of the most useful things that we can have. First, computers are good for communicating. Students @MONTH1 contact teachers through email if they have a question about an assignment. Computers also are useful for teaching. People use the @CAPS2 everyday to get information on their favorite sports teams or on a new recipe they saw on television. Finally, computers help us get work done easier. Student and employees use @ORGANIZATION1 for everything from writing a paper to creating a presentation. Futhermore, computers are extremely essential to our everyday life because they help us communicate, learn and finish work. Every year, thousands of students go to college, and thousands of families move away from each other. Computers are one way of communicating to @CAPS8 loved ones in far away places. Parents send messages via email to their children at college. Families speak with each other through @CAPS3. Computers are what makes all this possible. Not only can we use computers to make contact with our families,but we can also use them to speak with our teachers. Whenever a student is sick, but wants to get their homework finished, they look on their teacher's website. Here, all the homework for the class is listed. Also, if a student has a paper due the @DATE1, but their printer is broken, they @MONTH1 email the paper to the teacher. This allows the student to get full credit for their work. Email is not onlyuseful for handing in projects, but also for asking questions about the assignments. If a student has a question about an assignment, he or she can ask a friend or the teacher. Then, the student will be able to successfully complete the project. Computers are one of the most useful ways of making contact today, but communication is not the computer's only purpose. The average person goes on the @CAPS2 ten times a @DATE1 just to get information. Computers provide a pletvera of knowledge for people's use. Search engines like @ORGANIZATION3 or yahoo provide answers in less than one second. This is much faster than going in the library and spending an hour looking it up. Website text is not the anything that provides information far eager learners @CAPS5 also provide pictures to further the persons understanding about a topic. For example, if a person is living in the @LOCATION1, and has lived there all their life, but is reading an article on a website about an animal native to @LOCATION2, they would not know how to picture it in their head. Articles and books @MONTH1 provide a description, nut nothing really gives the person a solid picture. The person could go online and search for a picture, which they will surely find. Finally, computers keep the brain active. While searching on a website, a person could piece together information from different sites to create a better picture, and, therefore, have a more complete and thorough understanding. In order to do this, however, a person's brain must constantly working. This helps develop skills later on such as problem solving. Overall, computers are one of the most useful and common of the learning devices. Many people say that computers are useful. They agree this by saying that work gets done so much easier and faster on a computer. on average, computers complete work fifty times more efficiently than people do by hand. This is because of programs such as @CAPS6, @CAPS7, and @ORGANIZATION2 @ORGANIZATION2 @CAPS8 programs allow people to cerrect spelling and grammatical mistakes while at the same time creating a neat looking presentation. Studies show that @PERCENT1 of people with bad spelling or grammatical habits corrected @CAPS8 mistakes quickly through @ORGANIZATION2 and @CAPS6. If people constantly make grammatical or spelling errors, then having them underlined in @CAPS6 will show them that this is not the correct way to punctuate or spell something in a sentence.",10
333,"Dear local newspaper, Computers have a lot of affects on people. Some affects are it takes away from family and friends, you don't really have a social life and you don't get enough excersise. Computers take away from friends and family time. I did an interview yesterday with @PERSON1; and I asked,"" @CAPS1 you go over your grandmas house what do you usually do?"" @CAPS2 said, ""I usually use the computer."" @CAPS3 do you want to use the computer while your their? your with your family your supposed to spend time with them. Play a game like monopoly, or play @CAPS4. Those are fun and great way to interact with your family. If your family member doesn't have those games bring them! People think that because there is facebook, aim, e-mail, and myspace that your interacting with friends. You really aren't. I asked my friend @PERSON3 what @CAPS2 thought of those things and @CAPS2 said ""They are great interacting websites."" They really aren't. They are websites on the computer. While you are on the computer your not really maintaing a social life. Your town holds activites or has a fun place you could too. Your town @MONTH1 have a gym, community center, or a library. Go their and hangout with friends interact with them. Go to school, goto the library, and hang out with friends are great ways to interact with people. People don't think about @CAPS1 your sititng in your computer chair and @CAPS5. While your sitting in the chair your not excercising, @CAPS1 you keep @CAPS5 your gaining weight. You might get fatter @CAPS1 your stuffing your face wih cheez- itz and not excersising I asked @PERSON2 a question it was what do you do while your on the computer? @CAPS2 said ""I eat.."" @CAPS5 isn't bad, but @CAPS1 your not really paying attention you eat more than you need. Your town has rec leaguges of sports such as @CAPS6, softball, and baseball. Join a team instead of playing on the computer and @CAPS5. Get @CAPS7! Computers aren't the greastest things in the world. You don't stay fit with them, you aren't very social, and you don't really spend time with your family. Computers don't really help you grow up, and be mature for the future.",9
354,"Dear local Newspaper, @CAPS1 the years computers has been a great invention. It helped people learn more information, communicate with people, and @CAPS6 invent more technology. This is a positive effect for our country. let me excplain. Computers is a positive affect for our country because it helps us find information for school and for location were to go. The computer helps me find information for my science project faster than going to the library and looking up information on a book."" @CAPS2 @PERSON1 in @NUM1 grade. In case we get lost on the roads the computer can @CAPS6 us get to out location. Another reason why computers is a positive affect to our country is because it can @CAPS6 us communicate with our friends and family.""@CAPS3 I cant contact my mom I email her on my computer."" @CAPS2 @PERSON2. Also most of kids parents can contact their teacher and email them to see how they are doing. The last reason why computers is a positive affect to our country is because it can @CAPS6 us invent diffrent things. Scientist can easily invent more kinds of technology by using the computers."" The computer has helped us first make a model of our invention then we start making the details."" @CAPS4 @CAPS5. @CAPS1 the years computers helped us with almost everything. Conclusion the computer @CAPS6 us with our search for information, @CAPS6 contact people, and @CAPS6 make new inventions. This has also helped us in wars. We should let the computers be in the @LOCATION1",8
355,"Dear @CAPS1, I think that computer are a waste of time, but they also help you in many ways. You should only go on the computer if you really have too. Peple are on the computer for hours at a time, they go on the computer if they are bored or if they don't want to go outside. People have made the computer daster and more effective. So more and more people buy computers each year. Computers als helsp you in al of ways, you can learn from a computer, you can find a job on the compter, and you can also shop on the computer. So if you need to find a job then you can go on the computer and find a job that is right for you. You can learn from the computer. The computer can give you so much information it is unbeleiveable, you can look up anything and even ask questions. Last, you can shop on the computer. Say you can find something in a store and you looked everywhere so you go home and you can go on the computer and find what you are looking for. But, you most likely are going to need a credit card. So this is why I think computer are helpful but a waste of time.",6
377,"Dear Readers of the @ORGANIZATION1, @CAPS1 you imagine life without your computer? No? Well that's what I am trying to change. Millions of @CAPS2 spend countless hours with their eyes glued to '@ORGANIZATION2, @ORGANIZATION3 and @CAPS3 monitor screens. Spending that much time sitting in one space isn't healthy, not only do people not get enough exercise but they don't get the chance to apperiate the natural world around them that is ever changing. Teens and even small children get lost in cyberworld and don't use their after school time wisely to study or do homework. The internet is also a dangerous place and the growing computer use with maximize the problem. To begin, the obesity rate in @LOCATION1 is growing rapidly, a recent study done by the @LOCATION2. goverment shows that @NUM1 people are over weight and @NUM2 people are on the of obesity. We @CAPS4 could decrease the obesity rate and be healthier and happier by exersicing and getting out more. Spending all your time glued to a computer screen will only increase your chances of becoming over weight. Secondly, the more time you spend cooped up inside the less time you get to enjoy nature. The natural world is ever changing, and you will miss out on a lot of amazing opportunities if you hardly ever step foot outside your front door. Execive comouter use will wear them out quicker than normal, where does your old word out computer go when you get the @ORGANIZATION2? A landfill! The more your use your computer the faster you will trash it. If every @CAPS5 threwout one computer a year their would be over @NUM3 million discarded dells, gateways, macs, we would be living in trash. @CAPS1 exesive computer use ruins the environment, and hurts your health! What are you waiting for? Go run outside! Ride a bike! Give your computer a break. Finally, the growing computer use increases the amount of internet predetors, and the odds that you or your child could be tougeled skyrocket. With more and more kids on the computer each okey the, internet saftey level drops. Not only could these children be watching inappopriate videos on youtube or cyber bulling on @CAPS6, they could be giving personal information out to people they don't even know without realizing it on myspace and facebook, @PERCENT1 of kiddnappings are possible because of information found on the computer. Do you want any thing like that ever to happen to you or your family? I didn't think so. Get up off of your comfy computer chairs and take a walk. Limit your internet and computer use, all it does is hurt you, theres no gain. Thank you for reading and don't support rapid advances in computer technology.",10
386,"Dear Newspaper, I believe that computers have a positive effect on people. I believe this because we can talk to people in different countries in a quarter of a second, we can send e-mails to other people, and finally we can go to @LOCATION1, ask @CAPS1 question and get an instant reply. First, we can talk to people in different countries. Did you ever have a relative go on vacation in a foreigh country and have no way of calling them to see if everything is okay? Lets say for instance that they brought their laptops but for at their cellphones. Then, the only way we can contact them is by e-mail. Even if your just happens in you can keep in touch through email. You can even a computer so you can video chat, and not have to wait to get your reply. Next, we can send e-mails to other people. Have you ever set somebody a letter by mail and had to wait two to three days for a reply? Sometimes, your letter is even lost, and these is no way of finding out. Well with e-mail, the wait time of your reply depends on how fast the person whom you are talking to types and most people I know can type a reply in @NUM1 to @NUM2 seconds. I believe that is a from two to three cars. With e-mail those is an eghty three percent chance that your email will not be lost. If for some reason it is lost, there will be a message sent to you telling you that your message was lost and that you need to sent a new message. But most likely chances are that your message wil reach its destination. can go to @LOCATION1, ask @CAPS1 question and get an instant reply. Were you ever wondering about something and the answer was on the tip of your tongue but you just cant think of it? If so you probably would be smart to go to @LOCATION1. You can ask @CAPS1 question and get an instant reply. And I mean @CAPS1 question you can ask questions from wat the price of is in @LOCATION2, to what an is. If you wanted to you could ask math questions as well, such as what is the square root of pi, and what is @NUM3. From @LOCATION1 to myspace the internet is full of information that can have a positive effect on people. This is why I think that the has a positive effect on people, we can talk to people different countries we can send e-mails, and we can ask all sorts of questions.",10
401,"Dear, @CAPS1 paper edattor we should stop because people arent doing anything their just staying home using the computer. Making there life worser they should make a day whith out computors and every one goes out side and gets exsesise. Wo could mapse the world better the more you. Exersise the stronger you get people livse computers because they could there frends play games thats but some time we have to go outside. Some times i like using the computer but a littile to much land that i dont get that mach exesersise and i hope i could stop from that and go out side and exersise more. We would have computers but we wont use it like for along time then spend more outside. We should only olw kids for only two or three hours a day. When there using the computer they use over like hours thats not good they should go out side thats why.",6
416,"Dear local newspaper, I strongly think we should have no more computers rather then looking on the computer. I strongly think this because this could cause serious damage to the eyes. My opinion for having computers is I don't think we should have them because you don't get enough exercise. You would just sit there looking at the computer all day. You would probley get all fat through the course of the year. You would be like a couch potato. My next opinion is we won't be able to get out of the house to see the beautiful nature. Like all the trees, flowers, wild life animals too. If you don't go outside there will be no fresh air for you. My last opinion is if we have computer. We won't be able to hang out with friends and family. You wont be able to see how big your family is. Or how small they are still small. Well these are my opinion's for having computers.",6
419,"The local newspaper wants to know my opinion on the effects computers have on people. Computers do have effect on people. People can meet new people, learn about new places, and talk to friends. Read on so you can learn how computers effect people lifes. My first reason is people can meet new people. You can meet new people from all around the world. You can keep touch with them through @CAPS1 or e-mail. Its a quicker and new way to meet new people. My second reason is you can learn about new places. You can learn new places by just clicking on an webpage. Computers are a faster way to learn. I gives you everything you need to know about the ne places you want to learn about. My third reason is we can talk to friends. Computers have many diffrent social websites that you can talk to people. You wont have to wait for school the next day you can talk to them through the computer. With all this new / quicker stuff you can talk to friend when ever you want. Finally, you know how computers affect people. We can meet new people, learn new places, and talk to friends. Computers can do all these days. Hope you enjoyed reading all about how they affect people.",6
